Party Lists of Successful Registered Parties
"ACT New Zealand"
"1","HIDE, Rodney Philip","Epsom Electorate"
"2","ROY, Heather Jean","Seat Allocation 99"
"3","NEWMAN, Muriel"
"4","FRANKS, Stephen"
"5","SCOTT, Graham Cecil"
"6","SHIRLEY, Kenneth Lex"
"7","WANG, Kenneth Xiaoxuan"
"8","ECKHOFF, Gerrard Mortland"
"9","MITCHELL, Lindsay"
"10","JACOBSEN, Bronwyn Ann"
"11","EWING-JARVIE, Simon"
"12","GILES, Joanne Mary"
"13","MARTIN, Willie"
"14","OLSEN, David Edward"
"15","STEVENS, Hamish William"
"16","JOLLANDS, Andrew Malcolm"
"17","BRAR, Hardev Singh"
"18","BELTOWSKI, Lech Andrejej"
"19","BEKER, Ian Alexander"
"20","BROWN, Christopher"
"21","GILL, Kevin John"
"22","WAUGH, John Harold"
"23","DAWSON, Dianne Cathrine"
"24","MURRAY, Kevin John"
"25","LANGFORD-TEBBY, Stephen Nigel"
"26","MIDDLETON, Gavin Coles"
"27","FRASER, John Cameron"
"28","DENZ, Frances"
"29","BARKLA, Elizabeth"
"30","CHETTY, Nigel"
"31","CLUNE, Scott Matthew"
"32","COLLINS, Michael Allan"
"33","EMILE, Tetauru Joseph"
"34","FALLOON, Andrew Hamilton"
"35","HEINE, Michael Robert"
"36","O'CONNOR, Kerry Victoria"
"37","SEYMOUR, David Breen"
"38","SIMPSON, Helen Joanne"
"39","WHITE, Philip John"
"40","WILDEN, Alan John"
"41","STONE, Andrew Maxwell"
"42","STEINIJANS, Barbara Delia"
"43","RIDDELL, John Godfrey"
"44","PETERSON, Carl James"
"45","PETERS, Andre John"
"46","PEPPER, Julie Anne"
"47","McCLELLAND, Thomas John"
"48","MANN, Alexander Gordon"
"49","LORENZ, Michelle Iris"
"50","KEARNEY, Nigel Bruce"
"51","KEARNEY, Nicholas Norman"
"52","DAVIES, Mark Marshall"
"53","COX, Stephen Peter"
"54","BASSETT, Raymond George"
"55","DAVIDSON, Brian Matthew"
"56","HOLDAWAY, Rebekah Faith"
"57","MARSHALL, Shirley"
"58","O'SULLIVAN, Patrick James"
"59","MALLETT, Garry Bruce"
"Green Party"
"1","FITZSIMONS, Jeanette Mary","Seat Allocation 10"
"2","DONALD, Rodney David","Seat Allocation 29"
"3","BRADFORD, Susan","Seat Allocation 47"
"4","KEDGLEY, Susan Jane","Seat Allocation 66"
"5","LOCKE, Keith James","Seat Allocation 84"
"6","STANTON TURIE, Metiria Leanne Agnes","Seat Allocation 104"
"7","TÁNCZOS, Nándor Steven"
"8","WARD, Michael Grahame"
"9","DELAHUNTY, Catherine"
"10","NORMAN, Russel William"
"11","BROWNING, Steffan John"
"12","CLENDON, David James"
"13","HIGHFIELD, Lucinda Grace"
"14","CARAPIET, Jonathan Michael"
"15","SAPSFORD, Roland Mario"
"16","MATHERS, Mojo Celeste"
"17","CURTIS, Mikaere James"
"18","BRUCE, Paul Everard"
"19","ELLEY, Jeanette Susan"
"20","STRICKSON-PUA, Muamua Sofi"
"21","DAVIES, Richard James"
"22","GRIFFITHS, Lois Beverly"
"23","CUTLER-WELSH, Natalie Susan"
"24","PEARCE, Jane Louise Mary"
"25","O'HALLORAN, Lawrence John"
"26","GREEN, Richard Arthur"
"27","BLEAKLEY, Claire Annette"
"28","BENTLEY, Irene Mary"
"29","CARSON, Craig William"
"30","HARVEY, Nicola Claire"
"31","ARMSTRONG, Moea"
"32","BAYLISS, Steve"
"33","BECK, Laura Ann"
"34","BROWN, Sarah Ruth"
"35","CREIGHTON, Terence John"
"36","DAVIS, John Llewellyn"
"37","DEWAR, Katherine Mary"
"38","DIACK, James Paul"
"39","EARTH, Ruth Elizabeth"
"40","ELSEN, Kathryn Ann"
"41","EVANS, Graham Peter"
"42","FISHER, Nicholas Guy"
"43","GUYTON, Robert"
"44","HOWARD, Daniel Joseph"
"45","JAMIESON, Philippa Ruth Glennie"
"46","LEE, Stephen Ralph"
"47","LIEFTING, Alan"
"48","McCAMMON, Mary Anyta"
"49","MILNES, John Ingham"
"50","MORRIS, Michael Charles"
"51","PETERSON, Noel James"
"52","QUALTROUGH, Paul Thomas"
"53","RAWLS, Jacob John"
"54","SAVILLE, Raewyn Frances"
"55","STEPHENS, Ian Douglas"
"56","SUGGATE, Richard Malcolm"
"57","THOMLINSON, Peter Neil"
"Jim Anderton's Progressive"
"1","ANDERTON, James Patrick","Wigram Electorate"
"2","ROBSON, Matthew Peter"
"3","GILLON, Grant Marc"
"4","WOODS, Megan Cherie"
"5","WRIGHT, John Alexander"
"6","FONUA, Sione Tuitavake"
"7","SHEPHERD, Vivienne Mary"
"8","LY, Ngov Dun Meng"
"9","ASHRAFI, Fatima Zohra"
"10","WILSON, Barry Vernon Marriott"
"11","LELEISIUAO, Fale"
"12","FRANKLIN, Russell Charles"
"13","GILLON, Wendy Paula Kirsty"
